ИНДОНЕЗИЯ: Лига 1 1,25,ПСИС Семаранг - ПСС Слеман ,1:0,http://m.myscore.ru/match/xbuKWmWc/?s=2,10,"Тотал больше 2  [alg C3]
 Ставить при коэффициенте не менее 1.55"
ГРУЗИЯ: Лига Эровнули 1,45,Сиони - Рустави ,2:1,http://m.myscore.ru/match/4d54TVhh/?s=2,10,"Тотал больше 4  [alg C3]
 Ставить при коэффициенте не менее 1.55"
БЕЛАРУСЬ: Первая Лига 1,21,Гранит Микашевичи - Крумкачы ,1:0,http://m.myscore.ru/match/b9N9KgAT/?s=2,10,"Тотал больше 2  [alg C3]
 Ставить при коэффициенте не менее 1.55"
МОЛДОВА: Национальный дивизион 1,21,Сфынтул - Зимбру ,1:0,http://m.myscore.ru/match/8tbMxqjU/?s=2,10,"Тотал больше 2.5 [alg A]
 Ставить при коэффициенте не менее 1.55"
ИСПАНИЯ: Примера 1,33,Эспаньол - Валенсия ,1:0,http://m.myscore.ru/match/rXDWCgfB/?s=2,10,"Тотал больше 2  [alg C3]
 Ставить при коэффициенте не менее 1.55"
АНГЛИЯ: Чемпионшип 1,22,Уиган - Суонси ,1:1,http://m.myscore.ru/match/bJnIWq02/?s=2,10,"Тотал больше 3  [alg C3]
 Ставить при коэффициенте не менее 1.55"
ГЕРМАНИЯ: Третья лига 1,22,Кайзерслаутерн - Вюрцбургер Кикерс ,0:1,http://m.myscore.ru/match/fs03Fjh5/?s=2,10,"Тотал больше 2  [alg C3]
 Ставить при коэффициенте не менее 1.55"
ГЕРМАНИЯ: Юго-западная региональная лига 1,22,Хоффенхайм II - Фрайбург II ,3:0,http://m.myscore.ru/match/vXvwNcvO/?s=2,10,"Тотал больше 4  [alg C3]
 Ставить при коэффициенте не менее 1.55"
ГЕРМАНИЯ: Западная региональная лига 1,24,Липпштадт - Рёдингхаузен ,0:2,http://m.myscore.ru/match/MuO0QrgU/?s=2,1,Тотал первого тайма больше 2.5 [alg B]
СЕРБИЯ: Суперлига 1,32,Партизан - Войводина ,1:0,http://m.myscore.ru/match/MNzv9C2S/?s=2,10,"Тотал больше 2.5 [alg A]
 Ставить при коэффициенте не менее 1.55"
